GEO.id,GEO.id2,GEO.display-label,2016_HD01_VD01,2016_HD02_VD01,2015_HD01_VD01,2015_HD02_VD01,2014_HD01_VD01,2014_HD02_VD01,2013_HD01_VD01,2013_HD02_VD01,2012_HD01_VD01,2012_HD02_VD01,2011_HD01_VD01,2011_HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent,Estimate; Median gross rent,Margin of Error; Median gross rent,Estimate; Median gross rent,Margin of Error; Median gross rent,Estimate; Median gross rent,Margin of Error; Median gross rent,Estimate; Median gross rent,Margin of Error; Median gross rent,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US10001,10001,ZCTA5 10001,2114,188,1989,169,1865,167,1830,143,1771,112,1580,127
8600000US10002,10002,ZCTA5 10002,919,35,882,34,863,30,848,19,803,23,770,24
8600000US10003,10003,ZCTA5 10003,2117,82,2030,77,1955,69,1855,63,1836,58,1747,53
8600000US10004,10004,ZCTA5 10004,2911,100,2851,134,"2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***
8600000US10005,10005,ZCTA5 10005,3005,113,2918,114,"2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***
8600000US10006,10006,ZCTA5 10006,2847,117,2824,118,"2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***
8600000US10007,10007,ZCTA5 10007,3339,136,3423,172,"2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***
8600000US10009,10009,ZCTA5 10009,1554,66,1485,67,1470,57,1436,59,1400,54,1322,42
8600000US10010,10010,ZCTA5 10010,2442,140,2295,98,"2,000+",***,"2,000+",***,"2,000+",***,1946,74
8600000US10011,10011,ZCTA5 10011,2029,112,2000,107,1933,122,1911,90,1793,76,1754,67
8600000US10012,10012,ZCTA5 10012,2128,81,2027,88,1919,116,1843,108,1751,99,1710,86
8600000US10013,10013,ZCTA5 10013,1663,146,1512,164,1462,118,1388,105,1236,102,1165,96
8600000US10014,10014,ZCTA5 10014,2337,126,2281,115,"2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***
