GEO.id,GEO.id2,GEO.display-label,2016_HC02_EST_VC02,2016_HC02_MOE_VC02,2015_HC02_EST_VC02,2015_HC02_MOE_VC02,2014_HC02_EST_VC02,2014_HC02_MOE_VC02,2013_HC02_EST_VC02,2013_HC02_MOE_VC02,2012_HC02_EST_VC02,2012_HC02_MOE_VC02,2011_HC02_EST_VC02,2011_HC02_MOE_VC02
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US10001,10001,ZCTA5 10001,85168,11872,86801,10346,81445,8743,81671,8474,76138,8189,67795,6489
8600000US10002,10002,ZCTA5 10002,35594,2970,33726,3127,32966,2301,33218,2320,32265,2395,32407,2484
8600000US10003,10003,ZCTA5 10003,100791,4905,98151,5628,97524,4474,92540,4479,91767,5086,88601,5397
8600000US10004,10004,ZCTA5 10004,123056,13409,119691,15833,123409,15383,129313,25482,127281,22042,127448,30284
8600000US10005,10005,ZCTA5 10005,130116,11890,124194,10342,121840,12917,124670,13848,120729,11887,117885,13183
8600000US10006,10006,ZCTA5 10006,125364,13544,123691,27459,121316,22057,119274,20163,115787,24791,111617,14445
8600000US10007,10007,ZCTA5 10007,234958,45462,"250,000+",***,"250,000+",***,216037,45480,210125,38367,191900,47204
8600000US10009,10009,ZCTA5 10009,60788,3699,59090,5355,61154,4126,59929,5068,59034,4175,55316,3638
8600000US10010,10010,ZCTA5 10010,110142,9266,101718,7116,100763,6614,97955,8156,95556,9188,94242,7231
8600000US10011,10011,ZCTA5 10011,114134,6726,109818,7540,104974,4110,104238,3935,101515,2204,99700,3163
8600000US10012,10012,ZCTA5 10012,101815,3308,100859,5399,95577,8580,86594,10501,77853,7036,77072,5696
8600000US10013,10013,ZCTA5 10013,104167,10841,96667,17159,97228,23757,83725,9781,68790,8565,64806,5443
8600000US10014,10014,ZCTA5 10014,119026,12563,113973,10369,109557,11138,108483,7829,105144,7145,102747,6501
8600000US10016,10016,ZCTA5 10016,102703,6117,104826,5131,103960,5205,105324,4324,101979,4073,102796,4466
8600000US10017,10017,ZCTA5 10017,106795,16080,106421,12463,102165,10499,100652,8627,108250,6747,105974,4474
8600000US10018,10018,ZCTA5 10018,105479,12702,105500,11540,100298,11886,104635,9994,87813,13610,84850,21926
8600000US10019,10019,ZCTA5 10019,94477,5898,94022,5480,90174,8895,84424,7652,80519,6561,79508,5099
8600000US10020,10020,ZCTA5 10020,-,**,-,**,-,**,-,**,-,**,-,**
8600000US10021,10021,ZCTA5 10021,115681,14417,115076,13697,109398,11319,107907,10524,106236,7929,109343,5467
8600000US10022,10022,ZCTA5 10022,123693,9078,126378,8059,115604,9476,109019,6645,106888,7306,109625,8945
8600000US10023,10023,ZCTA5 10023,115080,9139,111478,10254,111265,6990,103534,6011,105311,5150,105260,5185
8600000US10024,10024,ZCTA5 10024,118594,7175,113839,5687,109784,5513,109956,4859,110091,5604,111582,5213
8600000US10025,10025,ZCTA5 10025,80025,3814,74065,4869,71865,4040,68516,4609,68463,4161,64592,3576
8600000US10026,10026,ZCTA5 10026,52082,3161,47264,4441,47318,5263,43107,3341,42058,3040,39574,3354
8600000US10027,10027,ZCTA5 10027,42754,4154,40782,3120,40013,2645,37872,3762,35694,2558,35157,2580
8600000US10028,10028,ZCTA5 10028,111302,9323,114939,6716,115485,5660,104638,7158,107976,6678,107885,5190
8600000US10029,10029,ZCTA5 10029,32500,1882,31350,1805,31446,1960,31888,1802,31254,1526,31851,1469
8600000US10030,10030,ZCTA5 10030,33720,2653,33196,2758,32561,3375,31925,2571,30674,2530,29063,2573
8600000US10031,10031,ZCTA5 10031,41848,2855,39774,3792,38338,3217,37655,3184,36495,2470,36188,2528
8600000US10032,10032,ZCTA5 10032,40054,3065,37280,2545,35979,2738,34568,2929,36095,2424,35079,2721
8600000US10033,10033,ZCTA5 10033,46349,3046,44933,2793,44595,3911,41556,3607,41352,3264,40625,2869
8600000US10034,10034,ZCTA5 10034,45643,4511,42581,3518,42522,3180,41171,3761,43049,2640,42919,2208
8600000US10035,10035,ZCTA5 10035,26893,2589,27424,2708,26764,2428,24533,2295,26214,2351,26365,2630
8600000US10036,10036,ZCTA5 10036,83812,9440,75966,10398,70625,5976,66599,5225,64013,5276,62997,6288
8600000US10037,10037,ZCTA5 10037,39463,3788,35491,5225,37000,4614,37341,3756,39897,5621,40681,4108
8600000US10038,10038,ZCTA5 10038,82910,7380,76379,8254,73988,8929,66074,10098,65934,5696,65473,5661
8600000US10039,10039,ZCTA5 10039,32257,2572,33558,3534,33132,2539,33595,3189,35710,2948,34096,3713
8600000US10040,10040,ZCTA5 10040,45811,2212,46200,2894,46944,3797,42721,3062,40385,3023,37244,1929
8600000US10044,10044,ZCTA5 10044,86483,11844,91383,15666,95259,15430,83066,16013,75325,11779,76250,8771
8600000US10065,10065,ZCTA5 10065,118310,11471,112869,11047,110163,8370,115519,10906,109960,11982,111334,8973
