GEO.id,GEO.id2,GEO.display-label,2016_HD01_VD01,2016_HD02_VD01,2015_HD01_VD01,2015_HD02_VD01,2014_HD01_VD01,2014_HD02_VD01,2013_HD01_VD01,2013_HD02_VD01,2012_HD01_VD01,2012_HD02_VD01,2011_HD01_VD01,2011_HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Estimate; Total,Margin of Error; Total,Estimate; Total,Margin of Error; Total,Estimate; Total,Margin of Error; Total,Estimate; Total,Margin of Error; Total,Estimate; Total,Margin of Error; Total
8600000US10001,10001,ZCTA5 10001,23332,1740,23537,2422,22767,2058,21966,1552,20579,1027,21097,1160
8600000US10002,10002,ZCTA5 10002,78096,2456,80736,2479,79894,2177,82191,2595,80323,2259,81335,2469
8600000US10003,10003,ZCTA5 10003,56767,1934,57112,1592,57068,1563,57310,1844,56614,2161,55190,1766
8600000US10004,10004,ZCTA5 10004,3044,509,3221,556,3024,486,2807,450,2780,511,2604,362
8600000US10005,10005,ZCTA5 10005,8710,840,8131,837,7570,754,6822,783,5724,627,4935,500
8600000US10006,10006,ZCTA5 10006,3277,438,3110,406,2950,430,2507,381,2696,417,2722,324
8600000US10007,10007,ZCTA5 10007,6740,665,6876,539,6748,611,6525,640,6188,563,5892,546
8600000US10009,10009,ZCTA5 10009,59799,1682,60865,1987,61806,1770,62810,1747,62397,1899,62335,1710
8600000US10010,10010,ZCTA5 10010,32854,2303,31447,1404,30708,1550,30670,1338,29396,1574,28954,1472
8600000US10011,10011,ZCTA5 10011,50404,2300,52349,2371,52941,1710,52167,2133,51853,1605,51064,1460
8600000US10012,10012,ZCTA5 10012,24536,1279,24163,1315,24846,1383,26145,1455,24703,1490,24342,1568
8600000US10013,10013,ZCTA5 10013,28211,1443,27415,1580,26937,1279,26065,1397,26090,1531,25942,1363
8600000US10014,10014,ZCTA5 10014,31464,1227,30727,1359,31835,1206,30597,1294,30893,1330,31685,1349
8600000US10016,10016,ZCTA5 10016,50444,2138,50641,2237,50112,2268,51196,1802,52624,1912,53754,1972
8600000US10017,10017,ZCTA5 10017,16533,1281,16472,1354,16278,1135,16129,1078,16137,1027,15603,993
8600000US10018,10018,ZCTA5 10018,9684,664,9168,691,8062,598,7021,560,6147,653,5290,641
8600000US10019,10019,ZCTA5 10019,39505,1902,38830,1560,38752,1743,38394,1625,40351,1519,40778,1493
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,0,12,0,12,0,89
8600000US10021,10021,ZCTA5 10021,45261,2254,43573,2685,42142,2403,40862,2143,42646,2215,41546,1640
8600000US10022,10022,ZCTA5 10022,30262,1518,30607,1340,29699,1657,29618,1420,29317,1259,28847,1309
8600000US10023,10023,ZCTA5 10023,60307,2076,60586,2263,60762,2275,61315,2096,60447,2385,60035,2088
8600000US10024,10024,ZCTA5 10024,58516,2518,58391,2363,59249,2340,59164,1996,58991,1935,60239,2009
